Sample,Lane,R,Step,Length.Ave,Length.Sd,Count.Total,Count.Ave,Count.Sd,Files,Length.Ave.Ps,Count.Total.Ps
TORN_Pool_4_S4,L006,R1,Raw,150,0,3061218,3061218,0,1,NA,NA
TORN_Pool_4_S4,L006,R2,Raw,150,0,3061218,3061218,0,1,NA,NA
TORN_Pool_5_S5,L006,R1,Raw,150,0,1248025,1248025,0,1,NA,NA
TORN_Pool_5_S5,L006,R2,Raw,150,0,1248025,1248025,0,1,NA,NA
TORN_Pool_6_S6,L006,R1,Raw,150,0,3406559,3406559,0,1,NA,NA
TORN_Pool_6_S6,L006,R2,Raw,150,0,3406559,3406559,0,1,NA,NA
TORN_Pool_7_S7,L006,R1,Raw,150,0,2565256,2565256,0,1,NA,NA
TORN_Pool_7_S7,L006,R2,Raw,150,0,2565256,2565256,0,1,NA,NA
TORN_Pool_8_S8,L006,R1,Raw,150,0,2083571,2083571,0,1,NA,NA
TORN_Pool_8_S8,L006,R2,Raw,150,0,2083571,2083571,0,1,NA,NA
TORN_Pool_9_S9,L006,R1,Raw,150,0,2924224,2924224,0,1,NA,NA
TORN_Pool_9_S9,L006,R2,Raw,150,0,2924224,2924224,0,1,NA,NA
TORN_Pool_10_S10,L006,R1,Raw,150,0,2419885,2419885,0,1,NA,NA
TORN_Pool_10_S10,L006,R2,Raw,150,0,2419885,2419885,0,1,NA,NA
TORN_Pool_4_S4,L008,R1,Raw,150,0,2506641,2506641,0,1,NA,NA
TORN_Pool_4_S4,L008,R2,Raw,150,0,2506641,2506641,0,1,NA,NA
TORN_Pool_5_S5,L008,R1,Raw,150,0,870104,870104,0,1,NA,NA
TORN_Pool_5_S5,L008,R2,Raw,150,0,870104,870104,0,1,NA,NA
TORN_Pool_6_S6,L008,R1,Raw,150,0,3107867,3107867,0,1,NA,NA
TORN_Pool_6_S6,L008,R2,Raw,150,0,3107867,3107867,0,1,NA,NA
TORN_Pool_7_S7,L008,R1,Raw,150,0,3177384,3177384,0,1,NA,NA
TORN_Pool_7_S7,L008,R2,Raw,150,0,3177384,3177384,0,1,NA,NA
TORN_Pool_8_S8,L008,R1,Raw,150,0,2274644,2274644,0,1,NA,NA
TORN_Pool_8_S8,L008,R2,Raw,150,0,2274644,2274644,0,1,NA,NA
TORN_Pool_9_S9,L008,R1,Raw,150,0,2114997,2114997,0,1,NA,NA
TORN_Pool_9_S9,L008,R2,Raw,150,0,2114997,2114997,0,1,NA,NA
TORN_Pool_10_S10,L008,R1,Raw,150,0,1497568,1497568,0,1,NA,NA
TORN_Pool_10_S10,L008,R2,Raw,150,0,1497568,1497568,0,1,NA,NA
TORN_Pool_4_S4,NA,NA,Raw,NA,NA,NA,NA,NA,NA,150,11135718
TORN_Pool_5_S5,NA,NA,Raw,NA,NA,NA,NA,NA,NA,150,4236258
TORN_Pool_6_S6,NA,NA,Raw,NA,NA,NA,NA,NA,NA,150,13028852
TORN_Pool_7_S7,NA,NA,Raw,NA,NA,NA,NA,NA,NA,150,11485280
TORN_Pool_8_S8,NA,NA,Raw,NA,NA,NA,NA,NA,NA,150,8716430
TORN_Pool_9_S9,NA,NA,Raw,NA,NA,NA,NA,NA,NA,150,10078442
TORN_Pool_10_S10,NA,NA,Raw,NA,NA,NA,NA,NA,NA,150,7834906
TORN_Pool_4_S4,NA,R1,Merge,150,0,5567859,5567859,0,1,NA,NA
TORN_Pool_4_S4,NA,R2,Merge,150,0,5567859,5567859,0,1,NA,NA
TORN_Pool_5_S5,NA,R1,Merge,150,0,2118129,2118129,0,1,NA,NA
TORN_Pool_5_S5,NA,R2,Merge,150,0,2118129,2118129,0,1,NA,NA
TORN_Pool_6_S6,NA,R1,Merge,150,0,6514426,6514426,0,1,NA,NA
TORN_Pool_6_S6,NA,R2,Merge,150,0,6514426,6514426,0,1,NA,NA
TORN_Pool_7_S7,NA,R1,Merge,150,0,5742640,5742640,0,1,NA,NA
TORN_Pool_7_S7,NA,R2,Merge,150,0,5742640,5742640,0,1,NA,NA
TORN_Pool_8_S8,NA,R1,Merge,150,0,4358215,4358215,0,1,NA,NA
